,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
BeastieBoys\07 An Open Letter to NYC.mp3,-7.95398333333,8962.36782521,0.0413633423638,4.29885036677,0.00140333567223,3017.68189762,0.0655781867995,8.39132701502,-7.95398333333,8378.50853262,0.0465581685116,4.71888369387,0.0360589343156,4692.24329827,-0.00721420822353,5.73155754465,-7.95398333333,4274.13761552,-0.023619400815,5.15062404496,0.05775795966,7958.02125455,0.0774075903925,5.34273258066,-7.95398333333,330.80611034,-0.634306319261,4.99621242176,0.178257095159,574.878486508,0.0330084895048,4.58604110984,0.373700584232,0.16977571168,0.0941268360692,0.0648936964571,0.061523753792,0.0601178603972,0.0478914557695,0.0477857834859,0.0392813131118,0.040903005005
BeastieBoys\08 Root Down.mp3,-55.6934066667,8693.16383313,-0.0859982024293,4.60029196901,0.0399100665168,3805.56747216,0.100398331158,11.4966570195,-55.6934066667,7589.43934795,-0.136739740869,5.00283385658,0.176446274105,7211.78125378,0.00116550828097,5.82429644665,-55.6934066667,1710.48765205,-0.227368031046,5.46587330445,-0.602188698116,3043.78530453,0.112741797767,5.17292518348,-55.6934066667,173.35067354,-0.150184933994,5.17289058553,-0.649106844741,297.615143216,0.269570444429,4.56680560849,0.392518220556,0.156065340246,0.0788854746569,0.0807226564216,0.070471857626,0.0630726425581,0.0544298480366,0.0421235477876,0.0339527769012,0.0277576352099
BeastieBoys\09 Shake Your Rump.mp3,-214.876321667,8498.7291884,-0.150407313229,5.41608931781,0.0026583377639,3621.97332957,0.105771115586,7.68813789946,-214.876321667,7579.86939404,-0.216344852909,6.27889177378,0.019543659061,5214.92244145,0.0558148302904,7.73195074536,-214.876321667,3292.57972566,-0.409072963809,6.21760070347,0.0865260876813,6085.84514895,0.107674704037,6.09082328136,-214.876321667,209.180859092,-0.512320998031,8.29648260682,0.0384991652755,344.608780856,0.168793128996,7.48889220716,0.358079779792,0.153533093603,0.112148700939,0.0821226484255,0.0656960248614,0.0632962501245,0.0546654587484,0.0434274451925,0.0386374199352,0.028393178378
BeastieBoys\10 Intergalactic.mp3,-22.7113333333,11039.5653024,0.0503733433003,3.14402117153,-0.0258433764056,3974.76550336,-0.0652547354722,6.78317446445,-22.7113333333,10355.7240477,0.0560467347288,3.29226574424,-0.202640044001,5951.42734438,-0.0498465815554,6.32178434895,-22.7113333333,6142.51028359,0.0473878663537,3.20479148821,0.997556259377,11863.1995716,-0.0133410489514,3.20321629482,-22.7113333333,461.61566514,0.264300550846,3.41682019105,0.427756260434,735.928967795,0.0949763024332,3.69329840141,0.357652278792,0.124105549905,0.0974351152617,0.0780957156699,0.074083006876,0.0683567666227,0.0588908968468,0.0532807183268,0.0447964844148,0.043303467284
BeastieBoys\11 Sure Shot.mp3,-94.8885733333,10274.6939383,0.0189438783334,4.34532361667,0.0084516807528,4204.96662833,0.0158838810614,6.42671832781,-94.8885733333,8964.07483534,0.0248451320232,5.39799456827,-0.108600143336,7244.90017341,-0.0667496106598,5.85238771828,-94.8885733333,3753.31276389,-0.0502872115298,9.41083850131,-0.108701450242,7081.06187174,-0.0806891422408,9.3978885804,-94.8885733333,262.971344961,-1.49676603396,13.0203354182,0.572368948247,420.850289439,0.386135566248,9.00510525817,0.365392676323,0.188325250647,0.0945015244829,0.0782037050809,0.0585659627196,0.0606740574071,0.0440902737492,0.0413966776922,0.0358881379554,0.032961733943
BeastieBoys\12 Body Movin' (Fatboy Slim Remix).mp3,-18.015085,8246.02408766,0.0199827347199,3.08984403985,-0.0167183611973,4088.57727786,0.0356695710613,4.4379274308,-18.015085,6923.74679055,0.00938047042214,3.466520978,0.0364289404823,6140.06587499,0.030854638134,3.41991634958,-18.015085,2133.19765655,0.0482873805699,4.14819793097,-0.0535705950992,3717.22788292,0.0317209704559,4.43825573338,-18.015085,216.492057332,-0.0687265391274,3.1382064861,0.0880350584307,375.195576242,-0.0899673731743,3.20313481492,0.359583354574,0.162628939879,0.0988328256623,0.0963954120433,0.0755325905482,0.0592539754428,0.0419579717838,0.0374061281484,0.033254022169,0.035154779749
BeastieBoys\15 Fight for Your Right.mp3,5.42392833333,8777.58356361,-0.0333617741964,4.30098247963,-0.0289617149362,5520.78342889,-0.0378870923328,6.15787245243,5.42392833333,7320.76985561,-0.0421712965568,5.43301129649,-0.0643610726845,5951.09561153,-0.0437503901378,4.54776782042,5.42392833333,2856.43964211,0.130922967976,14.0497800403,0.228704784131,5390.75214751,0.0198587191423,14.9094652427,5.42392833333,252.443351206,0.441493932122,6.78308840957,0.219525876461,441.573560242,0.230045146256,6.48709923048,0.287139775255,0.133288240619,0.0803436286339,0.0821138379972,0.0838254742207,0.0839676440328,0.0776751938217,0.0679542104186,0.0577707944128,0.0459212005881
Garrett\01 Smooth Criminal 1.mp3,0.781203333333,6886.99206676,-0.0163453285782,4.49817451677,0.0254817091362,4276.70743673,-0.0242924829118,6.67677656802,0.781203333333,5572.57421364,-0.0228819266744,5.45416049593,0.245960766013,5543.8423835,0.00379719675785,4.39814602823,0.781203333333,1567.31314066,0.112609362774,15.7026118015,-1.10011668611,2819.12716643,-0.308671313902,16.430578854,0.781203333333,147.644261048,0.0569870451085,7.03757777197,0.155217028381,254.67793143,-0.283712472787,7.2367278047,0.33797083748,0.132349473415,0.0868774609462,0.0751528559612,0.0788802250524,0.0664701057078,0.0717380277097,0.0669915304388,0.0506687127703,0.032900770518
Garrett\02 Who Wants to Live Forever_ 1.mp3,-0.430636666667,6065.24489186,-0.0139856051019,4.13384275155,0.0103016838361,3505.30186259,-0.0346620978157,5.54579804544,-0.430636666667,4626.08803156,-0.00500413461216,4.3708916731,0.0263471057851,5480.06782967,0.0256236960488,4.10394369519,-0.430636666667,1125.82524929,0.0444590880801,9.76477264767,-0.113743957326,1996.2108686,-0.0437232638415,12.7214157214,-0.430636666667,108.085589081,0.266035755198,4.54400076181,-0.00328213689482,182.954134846,-0.346435821334,4.49269394327,0.312109129419,0.176572445468,0.0879584863666,0.0865397173291,0.0673249903898,0.0551873520436,0.0556969835419,0.0728983939411,0.0476568528207,0.0380556486805
Garrett\03 Clair de Lune 1.mp3,-0.23718,3022.94097824,0.0434341971662,4.40167039258,-0.0123000205,1921.65600205,0.0147125516461,7.86583095476,-0.23718,2180.30700563,0.0285043220014,4.53777110848,-0.0864997749962,2960.19414951,-0.0109335171416,4.08188580673,-0.23718,277.554342365,0.0268290957287,3.57337256974,-0.0680763460577,473.923645422,-0.0234051673358,3.45582916813,-0.23718,36.1684320081,-0.128489307128,4.25148495198,-0.0418831385643,62.270515126,-0.176453772514,4.14700392996,0.26002367379,0.190714300753,0.110321157335,0.0531384506507,0.0936881700177,0.070618090156,0.0946513815495,0.0610022030073,0.0479778411204,0.0178647316192
